epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,354.906,0.99935,0.58223,0.98691,0.93651,0.945,0.95307,0.711,0.92745,0.57455,1.01768,0.0011486,0.0011486,0.0011486
45,362.395,0.93766,0.53317,0.94642,0.96004,0.93,0.95948,0.7399,0.84887,0.49294,0.98661,0.0011288,0.0011288,0.0011288
46,371.401,0.92539,0.5157,0.95408,0.87523,0.925,0.94833,0.73041,0.93344,0.56168,1.01587,0.001109,0.001109,0.001109
47,379.282,0.95654,0.52672,0.94897,0.9221,0.9469,0.95739,0.71626,0.95049,0.58917,1.00657,0.0010892,0.0010892,0.0010892
48,386.995,0.91355,0.49805,0.95456,0.93214,0.94,0.9493,0.71617,0.89072,0.60655,1.00195,0.0010694,0.0010694,0.0010694
49,394.483,0.89593,0.50362,0.93848,0.91026,0.96364,0.94689,0.72892,0.9192,0.56534,1.00083,0.0010496,0.0010496,0.0010496
50,402.14,0.93243,0.51918,0.93373,0.93161,0.95355,0.95347,0.73437,0.90295,0.57358,1.00287,0.0010298,0.0010298,0.0010298
51,409.987,0.91056,0.49655,0.94963,0.90896,0.94853,0.9578,0.72482,0.96632,0.60007,1.03578,0.00101,0.00101,0.00101
52,417.954,0.92322,0.5076,0.94512,0.93535,0.94045,0.96204,0.75201,0.86225,0.51807,0.97293,0.0009902,0.0009902,0.0009902
53,426.659,0.88627,0.5168,0.94625,0.93508,0.965,0.97187,0.72545,0.94581,0.50817,1.00666,0.0009704,0.0009704,0.0009704
54,434.186,0.90872,0.51313,0.94817,0.92646,0.95,0.95183,0.74171,0.8973,0.53014,0.98744,0.0009506,0.0009506,0.0009506
55,441.832,0.85631,0.49063,0.92876,0.94086,0.95451,0.95432,0.74694,0.87155,0.52378,0.98352,0.0009308,0.0009308,0.0009308
56,449.373,0.855,0.47468,0.93861,0.93907,0.92473,0.95736,0.75674,0.83498,0.50423,0.97732,0.000911,0.000911,0.000911
57,458.226,0.85912,0.48409,0.92605,0.93136,0.94984,0.95503,0.7431,0.87302,0.54402,0.98161,0.0008912,0.0008912,0.0008912
58,466.029,0.85481,0.48646,0.92676,0.91575,0.965,0.96399,0.74076,0.98804,0.54479,1.04769,0.0008714,0.0008714,0.0008714
59,474.046,0.86103,0.49907,0.93291,0.94989,0.9479,0.97005,0.76009,0.83486,0.48063,0.97974,0.0008516,0.0008516,0.0008516
60,482.998,0.85663,0.47913,0.93054,0.93557,0.94393,0.95768,0.70889,0.90419,0.58034,1.00246,0.0008318,0.0008318,0.0008318
61,490.609,0.82571,0.46779,0.91587,0.94647,0.955,0.96906,0.75301,0.84637,0.52164,0.97563,0.000812,0.000812,0.000812
62,498.429,0.82261,0.47681,0.93316,0.94942,0.93855,0.96854,0.76176,0.82141,0.50235,0.95774,0.0007922,0.0007922,0.0007922
63,507.339,0.84014,0.46961,0.94032,0.91022,0.96311,0.96201,0.74022,0.87752,0.51369,0.97211,0.0007724,0.0007724,0.0007724
64,515.186,0.85984,0.47346,0.92871,0.95433,0.955,0.97159,0.77365,0.83025,0.45019,0.96798,0.0007526,0.0007526,0.0007526
65,523.827,0.83856,0.45899,0.91165,0.94718,0.945,0.97378,0.76916,0.8238,0.46799,0.97287,0.0007328,0.0007328,0.0007328
66,531.37,0.80111,0.43719,0.92518,0.9538,0.955,0.97441,0.79366,0.79565,0.44575,0.95679,0.000713,0.000713,0.000713
67,540.309,0.80566,0.43985,0.91734,0.94986,0.94729,0.96873,0.77149,0.81314,0.42812,0.97582,0.0006932,0.0006932,0.0006932
68,547.962,0.81122,0.4601,0.90049,0.93251,0.96724,0.96468,0.75959,0.85638,0.49129,0.98643,0.0006734,0.0006734,0.0006734
69,555.477,0.83464,0.45877,0.93095,0.9372,0.93,0.96089,0.7264,0.93165,0.51716,1.0156,0.0006536,0.0006536,0.0006536
70,563.195,0.80014,0.44176,0.91629,0.932,0.95938,0.96824,0.76652,0.83099,0.44787,0.9718,0.0006338,0.0006338,0.0006338
71,571.099,0.81807,0.46198,0.92145,0.93609,0.955,0.97161,0.78271,0.8255,0.46619,0.96703,0.000614,0.000614,0.000614
72,579.205,0.78992,0.43594,0.9095,0.97117,0.94,0.97475,0.75984,0.80689,0.44848,0.9711,0.0005942,0.0005942,0.0005942
73,586.816,0.81587,0.44384,0.91708,0.97089,0.93,0.9723,0.7733,0.78089,0.44336,0.95455,0.0005744,0.0005744,0.0005744
74,594.485,0.79566,0.43114,0.91569,0.92358,0.94,0.95719,0.74426,0.84212,0.55062,0.96997,0.0005546,0.0005546,0.0005546
75,602.404,0.76632,0.42918,0.89567,0.94475,0.94055,0.97161,0.78387,0.80314,0.44871,0.9755,0.0005348,0.0005348,0.0005348
76,610.183,0.78094,0.42149,0.90004,0.94392,0.95,0.96928,0.78121,0.78739,0.4572,0.96146,0.000515,0.000515,0.000515
77,617.807,0.78192,0.42341,0.90197,0.95467,0.95,0.96426,0.78133,0.81107,0.42711,0.96549,0.0004952,0.0004952,0.0004952
78,625.437,0.78725,0.40967,0.9012,0.95238,0.955,0.96613,0.76179,0.8401,0.48713,0.97939,0.0004754,0.0004754,0.0004754
79,633.068,0.76915,0.42208,0.90005,0.95557,0.935,0.97342,0.78852,0.75937,0.45293,0.94611,0.0004556,0.0004556,0.0004556
80,640.57,0.75758,0.40926,0.90021,0.95966,0.95148,0.97526,0.79048,0.77283,0.43009,0.95768,0.0004358,0.0004358,0.0004358
81,648.185,0.74545,0.40144,0.9013,0.94374,0.96,0.97193,0.77783,0.81945,0.44685,0.96323,0.000416,0.000416,0.000416
82,655.685,0.72972,0.38792,0.89274,0.93639,0.95,0.97139,0.7899,0.80575,0.46884,0.96407,0.0003962,0.0003962,0.0003962
83,663.311,0.77556,0.41357,0.90364,0.94036,0.94604,0.97349,0.79378,0.78208,0.44157,0.95188,0.0003764,0.0003764,0.0003764
84,671.937,0.73384,0.37428,0.89341,0.95398,0.95,0.9666,0.78246,0.77912,0.40453,0.95886,0.0003566,0.0003566,0.0003566
85,679.409,0.7596,0.4012,0.9026,0.9453,0.96,0.97561,0.79737,0.7742,0.4199,0.96593,0.0003368,0.0003368,0.0003368
86,688.216,0.73251,0.39486,0.89578,0.95494,0.95371,0.97401,0.79551,0.7691,0.42942,0.95703,0.000317,0.000317,0.000317
87,695.904,0.72422,0.39961,0.8866,0.96969,0.95975,0.97753,0.79065,0.80072,0.40141,0.95521,0.0002972,0.0002972,0.0002972
88,703.464,0.72185,0.39001,0.88264,0.96492,0.95,0.97623,0.79256,0.71688,0.417,0.93961,0.0002774,0.0002774,0.0002774
89,711.091,0.736,0.3755,0.89129,0.94555,0.95516,0.97392,0.77814,0.78267,0.44498,0.95071,0.0002576,0.0002576,0.0002576
